127.0.0.1, 2015-11-16 23:05:59, GET, /, HTTP/1.1, 303, 0.000500
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.170476
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000415
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000215
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000202
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000210
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000183
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000184
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000206
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000193
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000193
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000187
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000208
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000201
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000340
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000289
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000211
127.0.0.1, 2015-11-16 23:05:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000190
127.0.0.1, 2015-11-16 23:06:37, GET, /welcome/itproject/index, HTTP/1.1, 404, 0.005929
127.0.0.1, 2015-11-16 23:06:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2015-11-16 23:06:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000175
127.0.0.1, 2015-11-16 23:06:47, GET, /welcome/, HTTP/1.1, 200, 0.013303
127.0.0.1, 2015-11-16 23:06:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000233
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/default/site, HTTP/1.1, 303, 0.048553
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/default/index, HTTP/1.1, 200, 0.020266
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.000279
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.000183
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.000195
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.000212
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000261
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000197
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000226
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000186
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000185
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000176
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000176
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000189
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000174
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000200
127.0.0.1, 2015-11-16 23:06:53, GET, /admin/default/site, HTTP/1.1, 303, 0.002919
127.0.0.1, 2015-11-16 23:07:00, POST, /admin/default/index, HTTP/1.1, 303, 0.020721
127.0.0.1, 2015-11-16 23:07:00, GET, /admin/default/site, HTTP/1.1, 200, 0.028290
127.0.0.1, 2015-11-16 23:07:00, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.000272
127.0.0.1, 2015-11-16 23:07:00, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.000238
127.0.0.1, 2015-11-16 23:07:00, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000273
127.0.0.1, 2015-11-16 23:07:00, POST, /admin/default/check_version, HTTP/1.1, 200, 0.528901
127.0.0.1, 2015-11-16 23:07:04, GET, /itproject/default/index, HTTP/1.1, 200, 0.055260
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000280
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/jquery.js, HTTP/1.1, 200, 0.000215
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/calendar.css, HTTP/1.1, 200, 0.000263
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/calendar.js, HTTP/1.1, 200, 0.000261
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/web2py.js, HTTP/1.1, 200, 0.000191
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/web2py.css, HTTP/1.1, 200, 0.000189
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000202
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000179
